algorithm_name,env_n,states_n,actions_count,actions_cost,time,solution_found
RANDOM,1,0,0,0,0.000543,False
BFS,1,0,0,0,0.0001,False
DFS,1,0,0,0,5.3e-05,False
DLS-50,1,0,0,0,4.2e-05,False
DLS-75,1,0,0,0,5.2e-05,False
DLS-100,1,0,0,0,4.8e-05,False
UCS,1,9539,208,226,0.329041,True
A* (esc1),1,2027,130,499,0.064525,True
A* (esc2),1,3530,162,486,0.080755,True
RANDOM,2,0,0,0,0.000378,False
BFS,2,0,0,0,7.1e-05,False
DFS,2,0,0,0,4.4e-05,False
DLS-50,2,0,0,0,3.5e-05,False
DLS-75,2,0,0,0,3.2e-05,False
DLS-100,2,0,0,0,3.6e-05,False
UCS,2,2632,61,88,0.180062,True
A* (esc1),2,193,37,127,0.004323,True
A* (esc2),2,260,45,144,0.00613,True
RANDOM,3,0,0,0,0.000366,False
BFS,3,0,0,0,9e-05,False
DFS,3,0,0,0,4.3e-05,False
DLS-50,3,0,0,0,3.9e-05,False
DLS-75,3,0,0,0,3.4e-05,False
DLS-100,3,0,0,0,3.3e-05,False
UCS,3,6207,98,152,0.234677,True
A* (esc1),3,935,76,292,0.030098,True
A* (esc2),3,1384,96,294,0.035236,True
RANDOM,4,0,0,0,0.000429,False
BFS,4,0,0,0,7.2e-05,False
DFS,4,0,0,0,3.9e-05,False
DLS-50,4,0,0,0,3.7e-05,False
DLS-75,4,0,0,0,2.7e-05,False
DLS-100,4,0,0,0,3.1e-05,False
UCS,4,3618,64,73,0.165748,True
A* (esc1),4,323,48,192,0.017286,True
A* (esc2),4,713,60,195,0.053878,True
RANDOM,5,0,0,0,0.000367,False
BFS,5,0,0,0,0.000103,False
DFS,5,0,0,0,4e-05,False
DLS-50,5,0,0,0,3.5e-05,False
DLS-75,5,0,0,0,3.4e-05,False
DLS-100,5,0,0,0,3.5e-05,False
UCS,5,9257,175,229,0.318437,True
A* (esc1),5,1504,147,669,0.045766,True
A* (esc2),5,2241,187,511,0.05135,True
RANDOM,6,0,0,0,0.00037,False
BFS,6,0,0,0,0.000111,False
DFS,6,0,0,0,4.6e-05,False
DLS-50,6,0,0,0,3.3e-05,False
DLS-75,6,0,0,0,2.9e-05,False
DLS-100,6,0,0,0,3e-05,False
UCS,6,1918,34,61,0.135877,True
A* (esc1),6,131,30,120,0.004511,True
