env,algorithm,scenario,states_explored,actions_taken,total_cost,time_seconds,solution_found
1,RANDOM,1,,,,1.0170000678044744e-05,False
1,RANDOM,2,,,,1.0170000678044744e-05,False
1,BFS,1,2080,49,49,0.005785946999822045,True
1,BFS,2,2080,49,121,0.005785946999822045,True
1,DFS,1,8190,7721,7721,0.019427248999818403,True
1,DFS,2,8190,7721,24623,0.019427248999818403,True
1,DLS-50,1,20951,49,49,0.07697588299924973,True
1,DLS-50,2,20951,49,121,0.07697588299924973,True
1,DLS-75,1,25511,75,75,0.08429627800069284,True
1,DLS-75,2,25511,75,183,0.08429627800069284,True
1,DLS-100,1,45536,99,99,0.1422840430004726,True
1,DLS-100,2,45536,99,387,0.1422840430004726,True
1,UCS,1,1222,49,49,0.004559580000204733,True
1,UCS,2,1222,49,121,0.004559580000204733,True
1,A1,1,275,49,49,0.0010400119999758317,True
1,A2,2,275,49,121,0.001033744999404007,True
2,RANDOM,1,,,,8.561999493394978e-06,False
2,RANDOM,2,,,,8.561999493394978e-06,False
2,BFS,1,256,11,11,0.0005990929994368344,True
2,BFS,2,256,11,83,0.0005990929994368344,True
2,DFS,1,4337,4009,4009,0.009814340000048105,True
2,DFS,2,4337,4009,11947,0.009814340000048105,True
2,DLS-50,1,8992,49,49,0.0362386319993675,True
2,DLS-50,2,8992,49,157,0.0362386319993675,True
2,DLS-75,1,16786,75,75,0.05411370399997395,True
2,DLS-75,2,16786,75,201,0.05411370399997395,True
2,DLS-100,1,17373,99,99,0.053430035000019416,True
2,DLS-100,2,17373,99,315,0.053430035000019416,True
2,UCS,1,834,11,11,0.003086583999902359,True
2,UCS,2,834,11,83,0.003086583999902359,True
2,A1,1,25,11,11,9.604500064597232e-05,True
2,A2,2,25,11,83,9.230400064552668e-05,True
3,RANDOM,1,,,,3.128200023638783e-05,False
3,RANDOM,2,,,,3.128200023638783e-05,False
3,BFS,1,905,37,37,0.0024560769998061005,True
3,BFS,2,905,37,190,0.0024560769998061005,True
3,DFS,1,2920,2625,2625,0.006868391000352858,True
3,DFS,2,2920,2625,7386,0.006868391000352858,True
3,DLS-50,1,2997,49,49,0.012389546000122209,True
