algorithm_name,env_n,size,best_solution,H,states,time
random,1,4,"[1, 3, 0, 2]",0,44,0.00023417299962602556
HC,1,4,"[0, 3, 1, 2]",1,37,9.457400301471353e-05
SA,1,4,"[1, 3, 0, 3]",1,128,0.0007859540055505931
GA,1,4,"[3, 0, 2, 2]",2,128,0.0025488539977231994
random,2,4,"[2, 0, 3, 1]",0,19,9.79229953372851e-05
HC,2,4,"[3, 1, 0, 2]",1,25,5.7739001931622624e-05
SA,2,4,"[1, 3, 0, 2]",0,74,0.00045537199184764177
GA,2,4,"[0, 0, 3, 1]",1,128,0.0027444329898571596
random,3,4,"[1, 3, 0, 2]",0,34,0.00017427100101485848
HC,3,4,"[2, 0, 3, 1]",0,37,8.440400415565819e-05
SA,3,4,"[1, 3, 0, 2]",0,40,0.0002524699957575649
GA,3,4,"[2, 0, 3, 1]",0,32,0.00046505400678142905
random,4,4,"[1, 3, 0, 2]",0,81,0.00039463199209421873
HC,4,4,"[1, 3, 0, 2]",0,25,6.050599040463567e-05
SA,4,4,"[2, 0, 3, 1]",0,114,0.0006589240074390545
GA,4,4,"[1, 3, 0, 2]",0,64,0.0011381189979147166
random,5,4,"[1, 3, 0, 2]",0,55,0.00024356698850169778
HC,5,4,"[3, 1, 2, 0]",2,25,5.3485011449083686e-05
SA,5,4,"[3, 1, 2, 0]",2,128,0.0006782099953852594
GA,5,4,"[1, 3, 0, 3]",1,128,0.0023245570046128705
random,6,4,"[3, 0, 2, 1]",1,128,0.0007190080068539828
HC,6,4,"[1, 2, 0, 3]",1,25,5.4392992751672864e-05
SA,6,4,"[2, 0, 3, 1]",0,96,0.0007583779952256009
GA,6,4,"[2, 1, 3, 0]",1,128,0.002681065001524985
random,7,4,"[3, 0, 2, 1]",1,128,0.0006643450033152476
HC,7,4,"[2, 0, 3, 1]",0,37,8.71459924383089e-05
SA,7,4,"[1, 3, 0, 2]",0,95,0.0005918549868511036
GA,7,4,"[2, 0, 3, 1]",0,48,0.0008208249928429723
random,8,4,"[2, 0, 3, 1]",0,107,0.000551103992620483
HC,8,4,"[2, 0, 3, 1]",0,25,6.18960038991645e-05
SA,8,4,"[3, 1, 3, 3]",4,128,0.0008233010012190789
GA,8,4,"[2, 0, 3, 1]",0,48,0.0009221799991792068
random,9,4,"[1, 3, 0, 2]",0,43,0.00022775099205318838
HC,9,4,"[1, 3, 0, 2]",0,37,8.801301009953022e-05
SA,9,4,"[2, 0, 3, 1]",0,66,0.00044122700637672096
GA,9,4,"[2, 0, 3, 1]",0,80,0.001543860009405762
random,10,4,"[1, 2, 0, 3]",1,128,0.0006629809940932319
HC,10,4,"[0, 2, 3, 1]",1,25,5.976999818813056e-05
SA,10,4,"[3, 3, 1, 2]",3,128,0.0008016400097403675
GA,10,4,"[2, 0, 3, 1]",0,32,0.00045929200132377446
random,11,4,"[1, 3, 0, 2]",0,21,0.00010627199662849307
