algoritmo,n,semilla,exito,tiempo_segundos,nodos_explorados
backtracking,4,0,1,8.392333984375e-05,7
backtracking,4,1,1,2.6702880859375e-05,45
backtracking,4,2,1,8.106231689453125e-06,7
backtracking,4,3,1,2.2649765014648438e-05,45
backtracking,4,4,1,6.67572021484375e-06,8
backtracking,4,5,1,1.3828277587890625e-05,23
backtracking,4,6,1,1.430511474609375e-05,26
backtracking,4,7,1,1.430511474609375e-05,27
backtracking,4,8,1,1.4066696166992188e-05,28
backtracking,4,9,1,1.430511474609375e-05,28
backtracking,4,10,1,1.3828277587890625e-05,26
backtracking,4,11,1,1.621246337890625e-05,24
backtracking,4,12,1,1.430511474609375e-05,26
backtracking,4,13,1,2.2411346435546875e-05,41
backtracking,4,14,1,7.3909759521484375e-06,8
backtracking,4,15,1,1.3589859008789062e-05,24
backtracking,4,16,1,1.9550323486328125e-05,39
backtracking,4,17,1,1.9788742065429688e-05,26
backtracking,4,18,1,7.3909759521484375e-06,12
backtracking,4,19,1,6.4373016357421875e-06,10
backtracking,4,20,1,7.3909759521484375e-06,5
backtracking,4,21,1,1.3828277587890625e-05,25
backtracking,4,22,1,1.5497207641601562e-05,28
backtracking,4,23,1,8.344650268554688e-06,10
backtracking,4,24,1,6.67572021484375e-06,7
backtracking,4,25,1,7.3909759521484375e-06,12
backtracking,4,26,1,2.1696090698242188e-05,44
backtracking,4,27,1,1.33514404296875e-05,25
backtracking,4,28,1,5.7220458984375e-06,5
backtracking,4,29,1,1.3828277587890625e-05,26
forward_checking,4,0,1,1.8358230590820312e-05,4
forward_checking,4,1,1,2.3365020751953125e-05,12
forward_checking,4,2,1,1.0013580322265625e-05,4
forward_checking,4,3,1,1.7642974853515625e-05,12
forward_checking,4,4,1,9.775161743164062e-06,4
forward_checking,4,5,1,1.5735626220703125e-05,8
forward_checking,4,6,1,1.2636184692382812e-05,8
forward_checking,4,7,1,1.1444091796875e-05,8
forward_checking,4,8,1,1.0967254638671875e-05,8
forward_checking,4,9,1,1.1444091796875e-05,8
forward_checking,4,10,1,1.0967254638671875e-05,8
forward_checking,4,11,1,4.506111145019531e-05,8
forward_checking,4,12,1,1.3589859008789062e-05,8
forward_checking,4,13,1,1.6689300537109375e-05,12
forward_checking,4,14,1,7.3909759521484375e-06,4
forward_checking,4,15,1,1.1444091796875e-05,8
forward_checking,4,16,1,1.5497207641601562e-05,12
forward_checking,4,17,1,1.1205673217773438e-05,8
forward_checking,4,18,1,7.3909759521484375e-06,4
forward_checking,4,19,1,6.9141387939453125e-06,4
forward_checking,4,20,1,7.152557373046875e-06,4
forward_checking,4,21,1,1.1920928955078125e-05,8
forward_checking,4,22,1,1.0967254638671875e-05,8
forward_checking,4,23,1,6.9141387939453125e-06,4
forward_checking,4,24,1,6.9141387939453125e-06,4
forward_checking,4,25,1,6.67572021484375e-06,4
forward_checking,4,26,1,1.4543533325195312e-05,12
forward_checking,4,27,1,1.0728836059570312e-05,8
forward_checking,4,28,1,6.4373016357421875e-06,4
forward_checking,4,29,1,1.0728836059570312e-05,8
backtracking,8,0,1,4.2438507080078125e-05,63
backtracking,8,1,1,2.2172927856445312e-05,30
backtracking,8,2,1,6.699562072753906e-05,120
backtracking,8,3,1,0.0002453327178955078,501
backtracking,8,4,1,0.00017833709716796875,362
backtracking,8,5,1,5.507469177246094e-05,103
backtracking,8,6,1,4.8160552978515625e-05,83
backtracking,8,7,1,9.632110595703125e-05,194
backtracking,8,8,1,1.9073486328125e-05,23
backtracking,8,9,1,5.841255187988281e-05,95
backtracking,8,10,1,7.653236389160156e-05,126
backtracking,8,11,1,9.083747863769531e-05,168
backtracking,8,12,1,4.8160552978515625e-05,81
backtracking,8,13,1,6.079673767089844e-05,114
backtracking,8,14,1,2.8848648071289062e-05,43
backtracking,8,15,1,0.00022554397583007812,445
backtracking,8,16,1,4.6253204345703125e-05,98
backtracking,8,17,1,2.8848648071289062e-05,53
backtracking,8,18,1,3.0517578125e-05,53
backtracking,8,19,1,3.409385681152344e-05,60
backtracking,8,20,1,0.00010704994201660156,243
backtracking,8,21,1,4.3392181396484375e-05,85
backtracking,8,22,1,2.956390380859375e-05,50
backtracking,8,23,1,0.00011610984802246094,261
backtracking,8,24,1,6.651878356933594e-05,141
backtracking,8,25,1,2.384185791015625e-05,39
backtracking,8,26,1,0.00011610984802246094,269
backtracking,8,27,1,3.361701965332031e-05,65
backtracking,8,28,1,1.6450881958007812e-05,20
backtracking,8,29,1,3.0517578125e-05,40
forward_checking,8,0,1,0.00013589859008789062,24
forward_checking,8,1,1,4.029273986816406e-05,13
forward_checking,8,2,1,3.24249267578125e-05,12
forward_checking,8,3,1,0.0001385211944580078,68
forward_checking,8,4,1,3.24249267578125e-05,12
forward_checking,8,5,1,2.288818359375e-05,8
forward_checking,8,6,1,2.3365020751953125e-05,9
forward_checking,8,7,1,3.457069396972656e-05,16
forward_checking,8,8,1,2.09808349609375e-05,8
forward_checking,8,9,1,3.743171691894531e-05,17
forward_checking,8,10,1,2.2411346435546875e-05,8
forward_checking,8,11,1,3.147125244140625e-05,13
forward_checking,8,12,1,2.288818359375e-05,8
forward_checking,8,13,1,3.0517578125e-05,13
forward_checking,8,14,1,4.482269287109375e-05,21
